,Code,School
1011,25719,Penn St.-Altoona
1012,538,Penn St.-Behrend
1013,30081,Penn St. Harrisburg
1014,506540,Penn St.-Shenango
1015,30044,Penn St.-Berks
1016,540,Penn
1017,30114,Penn St.-Abington
1018,539,Penn St.
1019,506277,Penn St.-Beaver
1020,504077,Penn St.-Brandywine
1021,506280,Penn St.-Du Bois
1022,506278,Penn St.-Fayette
1023,506261,Penn St-Gr Allegheny
1024,506297,Penn St.-Hazleton
1025,506298,Penn St.-Lehigh Val.
1026,506331,Penn St.-Mont Alto
1027,506264,Penn St.-New Kens.
1028,506302,Penn St.-Schuylkill
1029,506324,Penn St.-Scranton
1030,506332,Penn St-Wilkes Barre
1031,506370,Penn St-Worthington
1032,506326,Penn St.-York
1033,504062,Pensacola Christian
1034,541,Pepperdine
1035,506008,Peru St.
1036,542,Pfeiffer
1037,504115,Philander Smith
1038,21830,Piedmont
1039,504130,Piedmont Int'l
1040,504135,Pikeville
1041,544,Pine Manor
1042,1314,Pittsburg St.
1043,545,Pittsburgh
1044,1315,Pitt.-Bradford
1045,11839,Pitt.-Greensburg
1046,546,Pitt.-Johnstown
1047,547,Plattsburgh St.
1048,548,Plymouth St.
1049,30149,Point Loma
1050,504175,Point Park
1051,500270,Point U.
1052,506464,Polytechnic (P.R.)
1053,9500,SUNY Poly
1054,549,Pomona-Pitzer
1055,551,Portland
1056,504187,Portland Bible
1057,550,Portland St.
1058,1318,Post
1059,552,SUNY Potsdam
1060,553,Prairie View
1061,2715,Pratt
1062,1320,Presbyterian
1063,504212,Presentation
1064,554,Princeton
1065,555,Principia
1066,506169,Providence (MT)
1067,506493,Providence Christian
1068,556,Providence
1069,506307,Providence-Manitoba
1070,2682,P.R.-Bayamon
1071,24361,P.R.-Mayaguez
1072,2716,P.R.-Rio Piedras
1073,504226,P.R.-Arecibo
1074,506503,P.R.-Carolina
1075,506419,P.R.-Cayey
1076,506420,P.R.-Humacao
1077,504231,P.R.-Ponce
1078,557,Puget Sound
1079,30029,Purchase
1080,308,Purdue Fort Wayne
1081,559,Purdue
1082,30222,Purdue Northwest
1083,560,Queens (NY)
1084,11504,Queens (NC)
1085,561,Quincy
1086,562,Quinnipiac
1087,563,Radford
1088,564,Ramapo
1089,502132,Randall
1090,566,Randolph
1091,565,Randolph-Macon
1092,567,Redlands
1093,506514,Regent
1094,506457,Regina (CAN)
1095,569,Regis (MA)
1096,568,Regis (CO)
1097,506141,Reinhardt
1098,570,Rensselaer
1099,572,Rhode Island
1100,571,Rhode Island Col.
1101,573,Rhodes
1102,574,Rice
1103,575,Richmond
1104,576,Rider
1105,504350,Rio Grande
1106,577,Ripon
1107,18422,Rivier
1108,578,Roanoke
1109,579,Robert Morris
1110,30150,Roberts Wesleyan
1111,581,Rochester (NY)
1112,580,RIT
1113,582,Rockford
1114,1328,Rockhurst
1115,506025,Rocky Mountain
1116,583,Roger Williams
1117,30180,Rogers St.
1118,584,Rollins
1119,504410,Roosevelt
1120,506377,Roosevelt-Peoria
1121,585,Rose-Hulman
1122,15882,Rosemont
1123,259,Rowan
1124,506512,Rust
1125,588,Rutgers-Camden
1126,589,Rutgers-Newark
1127,587,Rutgers
1128,506432,Ryerson (CAN)
1129,503129,Rochester Univ. (MI)
1130,506353,S.C. Beaufort
1131,504446,Sacred Heart (PR)
1132,590,Sacred Heart
1133,11036,Sage Colleges
1134,591,Saginaw Valley
1135,500153,SAGU American Indian
1136,506002,St. Ambrose
1137,506422,St. Andrews
1138,595,Saint Benedict
1139,9684,St. Elizabeth
1140,506180,St. Francis (IL)
1141,504500,St. Francis (IN)
1142,605,St. Joseph's (ME)
1143,506468,St. Katherine
1144,504578,St. Louis Pharmacy
1145,506064,St. Mary (KS)
1146,504607,St. Mary (NE)
1147,504592,St. Mary-Woods
1148,506474,St. Thomas (CAN)
1149,504653,St. Thomas (FL)
1150,504660,St. Xavier
1151,506499,SAIT Poly (CAN)
1152,30041,Salem (NC)
1153,621,Salem St.
1154,19117,Salem (WV)
1155,622,Salisbury
1156,623,Salve Regina
