outcome,location,color,Total,type,line.type,x,y
single,right,green,single right,19,1,1,2.2
,,,,,,,
single,right center,green,single right center,19,1,0.6,2.5
,,,,,,,
single,right field line,green,single right field line,19,1,1.1,2.2
,,,,,,,
single,second base,blue,single second base,19,1,0.7,1.5
,,,,,,,
single,shortstop,blue,single shortstop,19,1,-0.7,1.5
,,,,,,,
single,third base,blue,single third base,19,1,-0.7,1.5
,,,,,,,
single,through the left side,blue,single through the left side,19,1,-1,1.8
,,,,,,,
single,through the right side,blue,single through the right side,19,1,1,1.8
,,,,,,,
triple,1B line,purple,triple 1B,19,1,1.85,2.525
,,,,,,,
triple,3B line,purple,triple 3B,19,1,-2.3,3.175
,,,,,,,
triple,center,purple,triple center,19,1,0,3.7
,,,,,,,
triple,cf,purple,triple cf,19,1,0,3.7
,,,,,,,
triple,left,purple,triple left,19,1,-0.7,3.5
,,,,,,,
triple,left center,purple,triple left center,19,1,-0.8,3.5
,,,,,,,
triple,left field line,purple,triple left field line,19,1,-1.2,2.5
,,,,,,,
triple,lf,purple,triple lf,19,1,-1.2,2.5
,,,,,,,
triple,lf line,purple,triple lf line,19,1,-0.55,1.45
,,,,,,,
triple,rf,purple,triple rf,19,1,1.2,2.5
,,,,,,,
triple,rf line,purple,triple rf line,19,1,1.2,2.5
,,,,,,,
triple,right,purple,triple right,19,1,0.7,3.1
,,,,,,,
triple,right center,purple,triple right center,19,1,0.8,3.25
,,,,,,,
triple,right field line,purple,triple right field line,19,1,1.2,2.15
